id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
0qfrk2Wa53HcBusHfkgrZN,0.576,0.738,0,-5.727,0,0.0562,0.00137,0.000233,0.129,0.335,127.992,audio_features,spotify:track:0qfrk2Wa53HcBusHfkgrZN,https://api.spotify.com/v1/tracks/0qfrk2Wa53HcBusHfkgrZN,https://api.spotify.com/v1/audio-analysis/0qfrk2Wa53HcBusHfkgrZN,228680,4
5FCHT8kMQ916mqPsZjv38t,0.699,0.525,0,-6.705,1,0.0622,0.000579,0.762,0.161,0.125,127.969,audio_features,spotify:track:5FCHT8kMQ916mqPsZjv38t,https://api.spotify.com/v1/tracks/5FCHT8kMQ916mqPsZjv38t,https://api.spotify.com/v1/audio-analysis/5FCHT8kMQ916mqPsZjv38t,200810,4
6lc6S1eIoJhi6YJn6lCnHB,0.715,0.902,0,-3.664,1,0.185,0.00543,0,0.0972,0.441,128.037,audio_features,spotify:track:6lc6S1eIoJhi6YJn6lCnHB,https://api.spotify.com/v1/tracks/6lc6S1eIoJhi6YJn6lCnHB,https://api.spotify.com/v1/audio-analysis/6lc6S1eIoJhi6YJn6lCnHB,183760,4
0FEPq7gON5KivhwrsWN0gI,0.392,0.879,4,-5.797,1,0.0593,0.00144,0.0018,0.322,0.23,127.943,audio_features,spotify:track:0FEPq7gON5KivhwrsWN0gI,https://api.spotify.com/v1/tracks/0FEPq7gON5KivhwrsWN0gI,https://api.spotify.com/v1/audio-analysis/0FEPq7gON5KivhwrsWN0gI,202507,4
1W1GpfPujmgp2vQqcpUhtU,0.702,0.841,2,-9.837,1,0.045,0.256,0.235,0.0584,0.271,134.919,audio_features,spotify:track:1W1GpfPujmgp2vQqcpUhtU,https://api.spotify.com/v1/tracks/1W1GpfPujmgp2vQqcpUhtU,https://api.spotify.com/v1/audio-analysis/1W1GpfPujmgp2vQqcpUhtU,513000,4
5EWPGh7jbTNO2wakv8LjUI,0.249,0.834,0,-8.21,1,0.0577,0.0738,9.48E-05,0.0924,0.338,118.223,audio_features,spotify:track:5EWPGh7jbTNO2wakv8LjUI,https://api.spotify.com/v1/tracks/5EWPGh7jbTNO2wakv8LjUI,https://api.spotify.com/v1/audio-analysis/5EWPGh7jbTNO2wakv8LjUI,547107,4
39C5FuZ8C8M0QI8CrMsPkR,0.436,0.657,5,-8.868,1,0.0541,0.00975,0.00748,0.0931,0.21,118.693,audio_features,spotify:track:39C5FuZ8C8M0QI8CrMsPkR,https://api.spotify.com/v1/tracks/39C5FuZ8C8M0QI8CrMsPkR,https://api.spotify.com/v1/audio-analysis/39C5FuZ8C8M0QI8CrMsPkR,467640,4
1QEEqeFIZktqIpPI4jSVSF,0.377,0.682,7,-8.039,1,0.0299,0.000894,0.00217,0.0504,0.288,108.736,audio_features,spotify:track:1QEEqeFIZktqIpPI4jSVSF,https://api.spotify.com/v1/tracks/1QEEqeFIZktqIpPI4jSVSF,https://api.spotify.com/v1/audio-analysis/1QEEqeFIZktqIpPI4jSVSF,285133,4
0LN0ASTtcGIbNTnjSHG6eO,0.497,0.849,9,-5.352,1,0.0612,0.00985,0,0.106,0.72,169.937,audio_features,spotify:track:0LN0ASTtcGIbNTnjSHG6eO,https://api.spotify.com/v1/tracks/0LN0ASTtcGIbNTnjSHG6eO,https://api.spotify.com/v1/audio-analysis/0LN0ASTtcGIbNTnjSHG6eO,261532,4
5hWdgGVcfTeLPAiHM6EZG9,0.711,0.951,1,-8.406,1,0.0537,0.00189,0.366,0.0229,0.903,121.656,audio_features,spotify:track:5hWdgGVcfTeLPAiHM6EZG9,https://api.spotify.com/v1/tracks/5hWdgGVcfTeLPAiHM6EZG9,https://api.spotify.com/v1/audio-analysis/5hWdgGVcfTeLPAiHM6EZG9,269307,4
